Brand,Serial,Model,Year,KM,Color,Price
Renault,Megane,1.5 dCi Touch Plus,2015,66.000,Beyaz,87.500 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,130.000,Siyah,179.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,60.000,Beyaz,196.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,94.000,Beyaz,85.500 TL
Toyota,Corolla,1.4 D-4D Touch,2016,99.000,Beyaz,122.750 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,123.000,Beyaz,90.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2014,102.000,Beyaz,152.750 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,200.000,Beyaz,126.500 TL
BMW,5 Serisi,520i M Sport,2018,23.700,Siyah,498.800 TL
Skoda,Octavia,1.6 TDI  Optimal,2015,120.000,Füme,126.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,56.000,Beyaz,322.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2013,178.000,Kahverengi,127.500 TL
Opel,Astra,1.6 CDTI Design,2017,84.500,Beyaz,130.900 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,87.000,Siyah,275.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2014,222.000,Mavi,94.750 TL
Ford,Fiesta,1.4 TDCi Comfort,2003,223.697,Kırmızı,38.000 TL
Volkswagen,Golf,1.6 Comfortline,2001,213.000,Mavi,43.500 TL
Volkswagen,Polo,1.2 TDI Trendline,2012,260.000,Beyaz,65.000 TL
Kia,Ceed,1.6 CRDi Premium,2017,64.000,Füme,162.500 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2015,105.000,Gri,325.000 TL
Renault,Megane,1.5 dCi Touch Plus,2015,66.000,Beyaz,87.500 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,130.000,Siyah,179.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,60.000,Beyaz,196.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,94.000,Beyaz,85.500 TL
Toyota,Corolla,1.4 D-4D Touch,2016,99.000,Beyaz,122.750 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,123.000,Beyaz,90.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2014,102.000,Beyaz,152.750 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,200.000,Beyaz,126.500 TL
BMW,5 Serisi,520i M Sport,2018,23.700,Siyah,498.800 TL
Skoda,Octavia,1.6 TDI  Optimal,2015,120.000,Füme,126.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,56.000,Beyaz,322.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2013,178.000,Kahverengi,127.500 TL
Opel,Astra,1.6 CDTI Design,2017,84.500,Beyaz,130.900 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,87.000,Siyah,275.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2014,222.000,Mavi,94.750 TL
Ford,Fiesta,1.4 TDCi Comfort,2003,223.697,Kırmızı,38.000 TL
Volkswagen,Golf,1.6 Comfortline,2001,213.000,Mavi,43.500 TL
Volkswagen,Polo,1.2 TDI Trendline,2012,260.000,Beyaz,65.000 TL
Kia,Ceed,1.6 CRDi Premium,2017,64.000,Füme,162.500 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2015,105.000,Gri,325.000 TL
Renault,Megane,1.5 dCi Touch Plus,2015,66.000,Beyaz,87.500 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,130.000,Siyah,179.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,60.000,Beyaz,196.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,94.000,Beyaz,85.500 TL
Toyota,Corolla,1.4 D-4D Touch,2016,99.000,Beyaz,122.750 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,123.000,Beyaz,90.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2014,102.000,Beyaz,152.750 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,200.000,Beyaz,126.500 TL
BMW,5 Serisi,520i M Sport,2018,23.700,Siyah,498.800 TL
Skoda,Octavia,1.6 TDI  Optimal,2015,120.000,Füme,126.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,56.000,Beyaz,322.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2013,178.000,Kahverengi,127.500 TL
Opel,Astra,1.6 CDTI Design,2017,84.500,Beyaz,130.900 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,87.000,Siyah,275.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2014,222.000,Mavi,94.750 TL
Ford,Fiesta,1.4 TDCi Comfort,2003,223.697,Kırmızı,38.000 TL
Volkswagen,Golf,1.6 Comfortline,2001,213.000,Mavi,43.500 TL
Volkswagen,Polo,1.2 TDI Trendline,2012,260.000,Beyaz,65.000 TL
Kia,Ceed,1.6 CRDi Premium,2017,64.000,Füme,162.500 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2015,105.000,Gri,325.000 TL
Renault,Megane,1.5 dCi Touch Plus,2015,66.000,Beyaz,87.500 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,130.000,Siyah,179.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,60.000,Beyaz,196.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,94.000,Beyaz,85.500 TL
Toyota,Corolla,1.4 D-4D Touch,2016,99.000,Beyaz,122.750 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,123.000,Beyaz,90.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2014,102.000,Beyaz,152.750 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,200.000,Beyaz,126.500 TL
BMW,5 Serisi,520i M Sport,2018,23.700,Siyah,498.800 TL
Skoda,Octavia,1.6 TDI  Optimal,2015,120.000,Füme,126.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,56.000,Beyaz,322.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2013,178.000,Kahverengi,127.500 TL
Opel,Astra,1.6 CDTI Design,2017,84.500,Beyaz,130.900 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,87.000,Siyah,275.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2014,222.000,Mavi,94.750 TL
Ford,Fiesta,1.4 TDCi Comfort,2003,223.697,Kırmızı,38.000 TL
Volkswagen,Golf,1.6 Comfortline,2001,213.000,Mavi,43.500 TL
Volkswagen,Polo,1.2 TDI Trendline,2012,260.000,Beyaz,65.000 TL
Kia,Ceed,1.6 CRDi Premium,2017,64.000,Füme,162.500 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2015,105.000,Gri,325.000 TL
Opel,Astra,1.6 CDTI Design,2017,84.500,Beyaz,130.900 TL
Renault,Megane,1.5 dCi Touch Plus,2015,66.000,Beyaz,87.500 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,130.000,Siyah,179.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,60.000,Beyaz,196.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,94.000,Beyaz,85.500 TL
Toyota,Corolla,1.4 D-4D Touch,2016,99.000,Beyaz,122.750 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,123.000,Beyaz,90.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2014,102.000,Beyaz,152.750 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,200.000,Beyaz,126.500 TL
BMW,5 Serisi,520i M Sport,2018,23.700,Siyah,498.800 TL
Skoda,Octavia,1.6 TDI  Optimal,2015,120.000,Füme,126.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,56.000,Beyaz,322.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2013,178.000,Kahverengi,127.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,87.000,Siyah,275.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2014,222.000,Mavi,94.750 TL
Ford,Fiesta,1.4 TDCi Comfort,2003,223.697,Kırmızı,38.000 TL
Volkswagen,Golf,1.6 Comfortline,2001,213.000,Mavi,43.500 TL
Volkswagen,Polo,1.2 TDI Trendline,2012,260.000,Beyaz,65.000 TL
Kia,Ceed,1.6 CRDi Premium,2017,64.000,Füme,162.500 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2015,105.000,Gri,325.000 TL
Renault,Megane,1.5 dCi Touch Plus,2015,66.000,Beyaz,87.500 TL
Opel,Astra,1.6 CDTI Design,2017,84.500,Beyaz,130.900 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,130.000,Siyah,179.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,60.000,Beyaz,196.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,94.000,Beyaz,85.500 TL
Toyota,Corolla,1.4 D-4D Touch,2016,99.000,Beyaz,122.750 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,123.000,Beyaz,90.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2014,102.000,Beyaz,152.750 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,200.000,Beyaz,126.500 TL
BMW,5 Serisi,520i M Sport,2018,23.700,Siyah,498.800 TL
Skoda,Octavia,1.6 TDI  Optimal,2015,120.000,Füme,126.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,56.000,Beyaz,322.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2013,178.000,Kahverengi,127.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,87.000,Siyah,275.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2014,222.000,Mavi,94.750 TL
Ford,Fiesta,1.4 TDCi Comfort,2003,223.697,Kırmızı,38.000 TL
Volkswagen,Golf,1.6 Comfortline,2001,213.000,Mavi,43.500 TL
Volkswagen,Polo,1.2 TDI Trendline,2012,260.000,Beyaz,65.000 TL
Kia,Ceed,1.6 CRDi Premium,2017,64.000,Füme,162.500 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2015,105.000,Gri,325.000 TL
Renault,Megane,1.5 dCi Touch Plus,2015,66.000,Beyaz,87.500 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,130.000,Siyah,179.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,60.000,Beyaz,196.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,94.000,Beyaz,85.500 TL
Toyota,Corolla,1.4 D-4D Touch,2016,99.000,Beyaz,122.750 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,123.000,Beyaz,90.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2014,102.000,Beyaz,152.750 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,200.000,Beyaz,126.500 TL
BMW,5 Serisi,520i M Sport,2018,23.700,Siyah,498.800 TL
Skoda,Octavia,1.6 TDI  Optimal,2015,120.000,Füme,126.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,56.000,Beyaz,322.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2013,178.000,Kahverengi,127.500 TL
Opel,Astra,1.6 CDTI Design,2017,84.500,Beyaz,130.900 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,87.000,Siyah,275.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2014,222.000,Mavi,94.750 TL
Ford,Fiesta,1.4 TDCi Comfort,2003,223.697,Kırmızı,38.000 TL
Volkswagen,Golf,1.6 Comfortline,2001,213.000,Mavi,43.500 TL
Volkswagen,Polo,1.2 TDI Trendline,2012,260.000,Beyaz,65.000 TL
Kia,Ceed,1.6 CRDi Premium,2017,64.000,Füme,162.500 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2015,105.000,Gri,325.000 TL
Renault,Megane,1.5 dCi Touch Plus,2015,66.000,Beyaz,87.500 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,130.000,Siyah,179.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,60.000,Beyaz,196.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,94.000,Beyaz,85.500 TL
Toyota,Corolla,1.4 D-4D Touch,2016,99.000,Beyaz,122.750 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,123.000,Beyaz,90.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2014,102.000,Beyaz,152.750 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,200.000,Beyaz,126.500 TL
BMW,5 Serisi,520i M Sport,2018,23.700,Siyah,498.800 TL
Skoda,Octavia,1.6 TDI  Optimal,2015,120.000,Füme,126.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,56.000,Beyaz,322.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2013,178.000,Kahverengi,127.500 TL
Opel,Astra,1.6 CDTI Design,2017,84.500,Beyaz,130.900 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,87.000,Siyah,275.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2014,222.000,Mavi,94.750 TL
Ford,Fiesta,1.4 TDCi Comfort,2003,223.697,Kırmızı,38.000 TL
Volkswagen,Golf,1.6 Comfortline,2001,213.000,Mavi,43.500 TL
Volkswagen,Polo,1.2 TDI Trendline,2012,260.000,Beyaz,65.000 TL
Kia,Ceed,1.6 CRDi Premium,2017,64.000,Füme,162.500 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2015,105.000,Gri,325.000 TL
Renault,Megane,1.5 dCi Touch Plus,2015,66.000,Beyaz,87.500 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,130.000,Siyah,179.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,60.000,Beyaz,196.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,94.000,Beyaz,85.500 TL
Toyota,Corolla,1.4 D-4D Touch,2016,99.000,Beyaz,122.750 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,123.000,Beyaz,90.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2014,102.000,Beyaz,152.750 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,200.000,Beyaz,126.500 TL
BMW,5 Serisi,520i M Sport,2018,23.700,Siyah,498.800 TL
Skoda,Octavia,1.6 TDI  Optimal,2015,120.000,Füme,126.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,56.000,Beyaz,322.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2013,178.000,Kahverengi,127.500 TL
Opel,Astra,1.6 CDTI Design,2017,84.500,Beyaz,130.900 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,87.000,Siyah,275.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2014,222.000,Mavi,94.750 TL
Ford,Fiesta,1.4 TDCi Comfort,2003,223.697,Kırmızı,38.000 TL
Volkswagen,Golf,1.6 Comfortline,2001,213.000,Mavi,43.500 TL
Volkswagen,Polo,1.2 TDI Trendline,2012,260.000,Beyaz,65.000 TL
Kia,Ceed,1.6 CRDi Premium,2017,64.000,Füme,162.500 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2015,105.000,Gri,325.000 TL
Renault,Megane,1.5 dCi Touch Plus,2015,66.000,Beyaz,87.500 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,130.000,Siyah,179.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,60.000,Beyaz,196.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,94.000,Beyaz,85.500 TL
Toyota,Corolla,1.4 D-4D Touch,2016,99.000,Beyaz,122.750 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,123.000,Beyaz,90.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2014,102.000,Beyaz,152.750 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,200.000,Beyaz,126.500 TL
BMW,5 Serisi,520i M Sport,2018,23.700,Siyah,498.800 TL
Skoda,Octavia,1.6 TDI  Optimal,2015,120.000,Füme,126.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,56.000,Beyaz,322.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2013,178.000,Kahverengi,127.500 TL
Opel,Astra,1.6 CDTI Design,2017,84.500,Beyaz,130.900 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,87.000,Siyah,275.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2014,222.000,Mavi,94.750 TL
Ford,Fiesta,1.4 TDCi Comfort,2003,223.697,Kırmızı,38.000 TL
Volkswagen,Golf,1.6 Comfortline,2001,213.000,Mavi,43.500 TL
Volkswagen,Polo,1.2 TDI Trendline,2012,260.000,Beyaz,65.000 TL
Kia,Ceed,1.6 CRDi Premium,2017,64.000,Füme,162.500 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2015,105.000,Gri,325.000 TL
Renault,Megane,1.5 dCi Touch Plus,2015,66.000,Beyaz,87.500 TL
Opel,Astra,1.6 CDTI Design,2017,84.500,Beyaz,130.900 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,130.000,Siyah,179.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,60.000,Beyaz,196.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,94.000,Beyaz,85.500 TL
Toyota,Corolla,1.4 D-4D Touch,2016,99.000,Beyaz,122.750 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,123.000,Beyaz,90.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2014,102.000,Beyaz,152.750 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,200.000,Beyaz,126.500 TL
BMW,5 Serisi,520i M Sport,2018,23.700,Siyah,498.800 TL
Skoda,Octavia,1.6 TDI  Optimal,2015,120.000,Füme,126.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,56.000,Beyaz,322.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2013,178.000,Kahverengi,127.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,87.000,Siyah,275.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2014,222.000,Mavi,94.750 TL
Ford,Fiesta,1.4 TDCi Comfort,2003,223.697,Kırmızı,38.000 TL
Volkswagen,Golf,1.6 Comfortline,2001,213.000,Mavi,43.500 TL
Volkswagen,Polo,1.2 TDI Trendline,2012,260.000,Beyaz,65.000 TL
Kia,Ceed,1.6 CRDi Premium,2017,64.000,Füme,162.500 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2015,105.000,Gri,325.000 TL
Renault,Megane,1.5 dCi Touch Plus,2015,66.000,Beyaz,87.500 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,130.000,Siyah,179.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,60.000,Beyaz,196.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,94.000,Beyaz,85.500 TL
Toyota,Corolla,1.4 D-4D Touch,2016,99.000,Beyaz,122.750 TL
Opel,Astra,1.6 CDTI Design,2017,84.500,Beyaz,130.900 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,123.000,Beyaz,90.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2014,102.000,Beyaz,152.750 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,200.000,Beyaz,126.500 TL
BMW,5 Serisi,520i M Sport,2018,23.700,Siyah,498.800 TL
Skoda,Octavia,1.6 TDI  Optimal,2015,120.000,Füme,126.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,56.000,Beyaz,322.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2013,178.000,Kahverengi,127.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,87.000,Siyah,275.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2014,222.000,Mavi,94.750 TL
Ford,Fiesta,1.4 TDCi Comfort,2003,223.697,Kırmızı,38.000 TL
Volkswagen,Golf,1.6 Comfortline,2001,213.000,Mavi,43.500 TL
Volkswagen,Polo,1.2 TDI Trendline,2012,260.000,Beyaz,65.000 TL
Kia,Ceed,1.6 CRDi Premium,2017,64.000,Füme,162.500 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2015,105.000,Gri,325.000 TL
Renault,Megane,1.5 dCi Touch Plus,2015,66.000,Beyaz,87.500 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,130.000,Siyah,179.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,60.000,Beyaz,196.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,94.000,Beyaz,85.500 TL
Toyota,Corolla,1.4 D-4D Touch,2016,99.000,Beyaz,122.750 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,123.000,Beyaz,90.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2014,102.000,Beyaz,152.750 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,200.000,Beyaz,126.500 TL
BMW,5 Serisi,520i M Sport,2018,23.700,Siyah,498.800 TL
Skoda,Octavia,1.6 TDI  Optimal,2015,120.000,Füme,126.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,56.000,Beyaz,322.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2013,178.000,Kahverengi,127.500 TL
Opel,Astra,1.6 CDTI Design,2017,84.500,Beyaz,130.900 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,87.000,Siyah,275.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2014,222.000,Mavi,94.750 TL
Ford,Fiesta,1.4 TDCi Comfort,2003,223.697,Kırmızı,38.000 TL
Volkswagen,Golf,1.6 Comfortline,2001,213.000,Mavi,43.500 TL
Volkswagen,Polo,1.2 TDI Trendline,2012,260.000,Beyaz,65.000 TL
Kia,Ceed,1.6 CRDi Premium,2017,64.000,Füme,162.500 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2015,105.000,Gri,325.000 TL
Renault,Megane,1.5 dCi Touch Plus,2015,66.000,Beyaz,87.500 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,130.000,Siyah,179.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,60.000,Beyaz,196.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,94.000,Beyaz,85.500 TL
Toyota,Corolla,1.4 D-4D Touch,2016,99.000,Beyaz,122.750 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,123.000,Beyaz,90.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2014,102.000,Beyaz,152.750 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,200.000,Beyaz,126.500 TL
BMW,5 Serisi,520i M Sport,2018,23.700,Siyah,498.800 TL
Skoda,Octavia,1.6 TDI  Optimal,2015,120.000,Füme,126.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,56.000,Beyaz,322.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2013,178.000,Kahverengi,127.500 TL
Opel,Astra,1.6 CDTI Design,2017,84.500,Beyaz,130.900 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,87.000,Siyah,275.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2014,222.000,Mavi,94.750 TL
Ford,Fiesta,1.4 TDCi Comfort,2003,223.697,Kırmızı,38.000 TL
Volkswagen,Golf,1.6 Comfortline,2001,213.000,Mavi,43.500 TL
Volkswagen,Polo,1.2 TDI Trendline,2012,260.000,Beyaz,65.000 TL
Kia,Ceed,1.6 CRDi Premium,2017,64.000,Füme,162.500 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2015,105.000,Gri,325.000 TL
Renault,Megane,1.5 dCi Touch Plus,2015,66.000,Beyaz,87.500 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,130.000,Siyah,179.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,60.000,Beyaz,196.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,94.000,Beyaz,85.500 TL
Toyota,Corolla,1.4 D-4D Touch,2016,99.000,Beyaz,122.750 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,123.000,Beyaz,90.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2014,102.000,Beyaz,152.750 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,200.000,Beyaz,126.500 TL
BMW,5 Serisi,520i M Sport,2018,23.700,Siyah,498.800 TL
Skoda,Octavia,1.6 TDI  Optimal,2015,120.000,Füme,126.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,56.000,Beyaz,322.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2013,178.000,Kahverengi,127.500 TL
Opel,Astra,1.6 CDTI Design,2017,84.500,Beyaz,130.900 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,87.000,Siyah,275.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2014,222.000,Mavi,94.750 TL
Ford,Fiesta,1.4 TDCi Comfort,2003,223.697,Kırmızı,38.000 TL
Volkswagen,Golf,1.6 Comfortline,2001,213.000,Mavi,43.500 TL
Volkswagen,Polo,1.2 TDI Trendline,2012,260.000,Beyaz,65.000 TL
Kia,Ceed,1.6 CRDi Premium,2017,64.000,Füme,162.500 TL
Audi,A6,A6 Sedan 2.0 TDI Quattro,2015,105.000,Gri,325.000 TL
Renault,Megane,1.5 dCi Touch Plus,2015,66.000,Beyaz,87.500 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2015,130.000,Siyah,179.900 TL
Audi,A3,A3 Sedan 1.6 TDI,2016,60.000,Beyaz,196.750 TL
Fiat,Egea,1.3 Multijet Easy,2017,94.000,Beyaz,85.500 TL
Toyota,Corolla,1.4 D-4D Touch,2016,99.000,Beyaz,122.750 TL
Volkswagen,Polo,1.4 TDI Trendline,2015,123.000,Beyaz,90.000 TL
Volkswagen,Golf,1.6 TDI BlueMotion Comfortline,2014,102.000,Beyaz,152.750 TL
Skoda,Octavia,1.6 TDI  Optimal,2016,200.000,Beyaz,126.500 TL
BMW,5 Serisi,520i M Sport,2018,23.700,Siyah,498.800 TL
Skoda,Octavia,1.6 TDI  Optimal,2015,120.000,Füme,126.500 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC AMG,2017,56.000,Beyaz,322.000 TL
Volkswagen,Passat,1.6 TDI BlueMotion Comfortline,2013,178.000,Kahverengi,127.500 TL
Opel,Astra,1.6 CDTI Design,2017,84.500,Beyaz,130.900 TL
Mercedes - Benz,C Serisi,C 200 d BlueTEC Exclusive,2015,87.000,Siyah,275.000 TL
Volkswagen,Polo,1.4 TDI Comfortline,2014,222.000,Mavi,94.750 TL
Ford,Fiesta,1.4 TDCi Comfort,2003,223.697,Kırmızı,38.000 TL
Volkswagen,Golf,1.6 Comfortline,2001,213.000,Mavi,43.500 TL
Volkswagen,Polo,1.2 TDI Trendline,2012,260.000,Beyaz,65.000 TL
